model,metric,variant,paper,reproduced,error,tolerance,pass
Llama-2-7b-hf,hellaswag,fp16_pinn8,0.7586138219478191,0.7577175861382195,-0.0008962358095996326,0.005,True
Llama-2-7b-hf,hellaswag,fp16_pinn16,0.760107548297152,0.7599083847839075,-0.00019916351324444914,0.005,True
Llama-2-7b-hf,hellaswag,fp16_pinn32,0.7591117307309301,0.7591117307309301,0.0,0.005,True
Llama-2-7b-hf,hellaswag,int8_exact,0.7538338976299542,0.7538338976299542,0.0,0.005,True
Llama-2-7b-hf,hellaswag,int8_pinn8,0.7502489543915555,0.7497510456084445,-0.0004979087831109563,0.005,True
Llama-2-7b-hf,hellaswag,int8_pinn16,0.7507468631746664,0.7501493726349333,-0.0005974905397331254,0.005,True
Llama-2-7b-hf,hellaswag,int8_pinn32,0.7500497908783111,0.7518422624975104,0.0017924716191992651,0.005,True
Llama-2-7b-hf,piqa,fp16_exact,0.7899891186071817,0.7878128400435256,-0.0021762785636560977,0.005,True
Llama-2-7b-hf,piqa,fp16_pinn8,0.7878128400435256,0.7889009793253536,0.0010881392818280489,0.005,True
Llama-2-7b-hf,piqa,fp16_pinn16,0.7899891186071817,0.7894450489662677,-0.0005440696409140244,0.005,True
Llama-2-7b-hf,piqa,fp16_pinn32,0.7872687704026116,0.7872687704026116,0.0,0.005,True
Llama-2-7b-hf,piqa,int8_exact,0.7850924918389554,0.7850924918389554,0.0,0.005,True
Llama-2-7b-hf,piqa,int8_pinn8,0.7818280739934712,0.7774755168661589,-0.0043525571273123065,0.005,True
Llama-2-7b-hf,piqa,int8_pinn16,0.7834602829162133,0.7829162132752993,-0.0005440696409140244,0.005,True
Llama-2-7b-hf,piqa,int8_pinn32,0.7861806311207835,0.779651795429815,-0.006528835690968515,0.005,False
Llama-2-7b-hf,winogrande,fp16_exact,0.681136543014996,0.6898184688239937,0.008681925808997626,0.005,False
Llama-2-7b-hf,winogrande,fp16_pinn8,0.6898184688239937,0.6882399368587214,-0.0015785319652722452,0.005,True
Llama-2-7b-hf,winogrande,fp16_pinn16,0.6866614048934491,0.6921862667719021,0.0055248618784530246,0.005,False
Llama-2-7b-hf,winogrande,fp16_pinn32,0.6929755327545383,0.6937647987371744,0.0007892659826361781,0.005,True
Llama-2-7b-hf,winogrande,int8_exact,0.6827150749802684,0.6835043409629045,0.0007892659826360671,0.005,True
Llama-2-7b-hf,winogrande,int8_pinn8,0.6850828729281768,0.6827150749802684,-0.0023677979479084232,0.005,True
Llama-2-7b-hf,winogrande,int8_pinn16,0.6945540647198106,0.6842936069455406,-0.010260457774269982,0.005,False
Llama-2-7b-hf,winogrande,int8_pinn32,0.6890292028413575,0.6866614048934491,-0.0023677979479084232,0.005,True
Llama-3-8b,arc_easy,fp16_exact,0.7769360269360269,0.7769360269360269,0.0,0.005,True
Llama-3-8b,arc_easy,fp16_pinn8,0.7760942760942761,0.7781986531986532,0.002104377104377164,0.005,True
Llama-3-8b,arc_easy,fp16_pinn16,0.7765151515151515,0.7773569023569024,0.0008417508417508657,0.005,True
Llama-3-8b,arc_easy,fp16_pinn32,0.7781986531986532,0.7765151515151515,-0.0016835016835017313,0.005,True
Llama-3-8b,arc_easy,int8_exact,0.7634680134680135,0.7634680134680135,0.0,0.005,True
Llama-3-8b,arc_easy,int8_pinn8,0.7617845117845118,0.76010101010101,-0.0016835016835017313,0.005,True
Llama-3-8b,arc_easy,int8_pinn16,0.7634680134680135,0.7668350168350169,0.0033670033670033517,0.005,True
Llama-3-8b,arc_easy,int8_pinn32,0.76010101010101,0.7630471380471381,0.00294612794612803,0.005,True
Llama-3-8b,hellaswag,fp16_exact,0.7914758016331408,0.7914758016331408,0.0,0.005,True
Llama-3-8b,hellaswag,fp16_pinn8,0.790479984066919,0.7908783110934077,0.00039832702648867624,0.005,True
Llama-3-8b,hellaswag,fp16_pinn16,0.7918741286596296,0.7909778928500298,-0.0008962358095997436,0.005,True
Llama-3-8b,hellaswag,fp16_pinn32,0.7913762198765186,0.791575383389763,0.00019916351324433812,0.005,True
Llama-3-8b,hellaswag,int8_exact,0.7778331009759012,0.7778331009759012,0.0,0.005,True
Llama-3-8b,hellaswag,int8_pinn8,0.7732523401712806,0.7749452300338578,0.001692889862577207,0.005,True
Llama-3-8b,hellaswag,int8_pinn16,0.7728540131447919,0.7726548496315475,-0.00019916351324433812,0.005,True
Llama-3-8b,hellaswag,int8_pinn32,0.7753435570603465,0.7731527584146585,-0.0021907986456880524,0.005,True
Llama-3-8b,piqa,fp16_exact,0.8052230685527747,0.8052230685527747,0.0,0.005,True
Llama-3-8b,piqa,fp16_pinn8,0.8068552774755169,0.809031556039173,0.0021762785636560977,0.005,True
Llama-3-8b,piqa,fp16_pinn16,0.8046789989118607,0.8073993471164309,0.002720348204570233,0.005,True
Llama-3-8b,piqa,fp16_pinn32,0.8101196953210011,0.808487486398259,-0.0016322089227421843,0.005,True
Llama-3-8b,piqa,int8_exact,0.795429815016322,0.795429815016322,0.0,0.005,True
Llama-3-8b,piqa,int8_pinn8,0.795429815016322,0.7965179542981502,0.0010881392818281599,0.005,True
