seq_len,n_rows,method,repetition,latency_ms
32768,2048,fp_stream_softmax_u8,10,0.12988799810409546
32768,2048,fp_stream_softmax_u8,11,0.1327359974384308
32768,2048,fp_stream_softmax_u8,12,0.13072000443935394
32768,2048,fp_stream_softmax_u8,13,0.13036799430847168
32768,2048,fp_stream_softmax_u8,14,0.1327040046453476
32768,2048,fp_stream_softmax_u8,15,0.13014400005340576
32768,2048,fp_stream_softmax_u8,16,0.13120000064373016
32768,2048,fp_stream_softmax_u8,17,0.1313599944114685
32768,2048,fp_stream_softmax_u8,18,0.1308480054140091
32768,2048,fp_stream_softmax_u8,19,0.13046400249004364
32768,2048,fp_stream_softmax_u8,20,0.13043199479579926
32768,2048,illm_di_softmax_u8,1,0.22121599316596985
32768,2048,illm_di_softmax_u8,2,0.21952000260353088
32768,2048,illm_di_softmax_u8,3,0.2199999988079071
32768,2048,illm_di_softmax_u8,4,0.217056006193161
32768,2048,illm_di_softmax_u8,5,0.21872000396251678
32768,2048,illm_di_softmax_u8,6,0.21753600239753723
32768,2048,illm_di_softmax_u8,7,0.21667200326919556
32768,2048,illm_di_softmax_u8,8,0.21638399362564087
32768,2048,illm_di_softmax_u8,9,0.21772800385951996
32768,2048,illm_di_softmax_u8,10,0.21545599400997162
32768,2048,illm_di_softmax_u8,11,0.21721599996089935
32768,2048,illm_di_softmax_u8,12,0.21583999693393707
32768,2048,illm_di_softmax_u8,13,0.2170879989862442
32768,2048,illm_di_softmax_u8,14,0.21663999557495117
32768,2048,illm_di_softmax_u8,15,0.21568000316619873
32768,2048,illm_di_softmax_u8,16,0.21715199947357178
32768,2048,illm_di_softmax_u8,17,0.21587200462818146
32768,2048,illm_di_softmax_u8,18,0.21433599293231964
32768,2048,illm_di_softmax_u8,19,0.218176007270813
32768,2048,illm_di_softmax_u8,20,0.21731199324131012
32768,2048,intattention_idx_softmax_u8,1,0.16332800686359406
32768,2048,intattention_idx_softmax_u8,2,0.1608320027589798
32768,2048,intattention_idx_softmax_u8,3,0.1610880047082901
32768,2048,intattention_idx_softmax_u8,4,0.1605439931154251
32768,2048,intattention_idx_softmax_u8,5,0.16102400422096252
32768,2048,intattention_idx_softmax_u8,6,0.1590079963207245
32768,2048,intattention_idx_softmax_u8,7,0.16092799603939056
32768,2048,intattention_idx_softmax_u8,8,0.1605760008096695
32768,2048,intattention_idx_softmax_u8,9,0.16131199896335602
32768,2048,intattention_idx_softmax_u8,10,0.16233600676059723
32768,2048,intattention_idx_softmax_u8,11,0.16204799711704254
32768,2048,intattention_idx_softmax_u8,12,0.15891200304031372
32768,2048,intattention_idx_softmax_u8,13,0.15961599349975586
32768,2048,intattention_idx_softmax_u8,14,0.1648000031709671
32768,2048,intattention_idx_softmax_u8,15,0.162432000041008
32768,2048,intattention_idx_softmax_u8,16,0.16105599701404572
32768,2048,intattention_idx_softmax_u8,17,0.15996800363063812
32768,2048,intattention_idx_softmax_u8,18,0.15904000401496887
32768,2048,intattention_idx_softmax_u8,19,0.1650560051202774
32768,2048,intattention_idx_softmax_u8,20,0.16140800714492798
32768,2048,memory_floor_1read_1write,1,0.06348799914121628
32768,2048,memory_floor_1read_1write,2,0.0631679967045784
32768,2048,memory_floor_1read_1write,3,0.0655680000782013
32768,2048,memory_floor_1read_1write,4,0.06415999680757523
32768,2048,memory_floor_1read_1write,5,0.06265600025653839
32768,2048,memory_floor_1read_1write,6,0.06249599903821945
32768,2048,memory_floor_1read_1write,7,0.061792001128196716
32768,2048,memory_floor_1read_1write,8,0.06201599910855293
32768,2048,memory_floor_1read_1write,9,0.06281600147485733
32768,2048,memory_floor_1read_1write,10,0.06217600032687187
32768,2048,memory_floor_1read_1write,11,0.0629120022058487
32768,2048,memory_floor_1read_1write,12,0.061216000467538834
32768,2048,memory_floor_1read_1write,13,0.062144000083208084
32768,2048,memory_floor_1read_1write,14,0.06265600025653839
32768,2048,memory_floor_1read_1write,15,0.06281600147485733
32768,2048,memory_floor_1read_1write,16,0.062463998794555664
32768,2048,memory_floor_1read_1write,17,0.062272001057863235
32768,2048,memory_floor_1read_1write,18,0.06140799820423126
32768,2048,memory_floor_1read_1write,19,0.06207999959588051
32768,2048,memory_floor_1read_1write,20,0.062272001057863235
65536,1024,fp_stream_softmax_u8,1,0.1624639928340912
65536,1024,fp_stream_softmax_u8,2,0.1590079963207245
65536,1024,fp_stream_softmax_u8,3,0.15680000185966492
65536,1024,fp_stream_softmax_u8,4,0.15644800662994385
65536,1024,fp_stream_softmax_u8,5,0.15558399260044098
65536,1024,fp_stream_softmax_u8,6,0.15574400126934052
65536,1024,fp_stream_softmax_u8,7,0.15507200360298157
65536,1024,fp_stream_softmax_u8,8,0.1544959992170334
65536,1024,fp_stream_softmax_u8,9,0.15376000106334686
65536,1024,fp_stream_softmax_u8,10,0.15494400262832642
65536,1024,fp_stream_softmax_u8,11,0.15612800419330597
65536,1024,fp_stream_softmax_u8,12,0.1544319987297058
65536,1024,fp_stream_softmax_u8,13,0.15430399775505066
65536,1024,fp_stream_softmax_u8,14,0.15507200360298157
65536,1024,fp_stream_softmax_u8,15,0.15427200496196747
65536,1024,fp_stream_softmax_u8,16,0.15516799688339233
65536,1024,fp_stream_softmax_u8,17,0.15692800283432007
65536,1024,fp_stream_softmax_u8,18,0.15484799444675446
65536,1024,fp_stream_softmax_u8,19,0.1557759940624237
65536,1024,fp_stream_softmax_u8,20,0.1547520011663437
65536,1024,illm_di_softmax_u8,1,0.256415992975235
65536,1024,illm_di_softmax_u8,2,0.2568640112876892
65536,1024,illm_di_softmax_u8,3,0.2540160119533539
65536,1024,illm_di_softmax_u8,4,0.2576960027217865
65536,1024,illm_di_softmax_u8,5,0.25331199169158936
65536,1024,illm_di_softmax_u8,6,0.255840003490448
65536,1024,illm_di_softmax_u8,7,0.2535359859466553
65536,1024,illm_di_softmax_u8,8,0.2560960054397583
65536,1024,illm_di_softmax_u8,9,0.2552320063114166
65536,1024,illm_di_softmax_u8,10,0.25542399287223816
65536,1024,illm_di_softmax_u8,11,0.25596800446510315
65536,1024,illm_di_softmax_u8,12,0.2561599910259247
65536,1024,illm_di_softmax_u8,13,0.25545600056648254
65536,1024,illm_di_softmax_u8,14,0.2558079957962036
65536,1024,illm_di_softmax_u8,15,0.25628799200057983
65536,1024,illm_di_softmax_u8,16,0.256415992975235
65536,1024,illm_di_softmax_u8,17,0.2559039890766144
65536,1024,illm_di_softmax_u8,18,0.25644800066947937
65536,1024,illm_di_softmax_u8,19,0.2558079957962036
65536,1024,illm_di_softmax_u8,20,0.25519999861717224
65536,1024,intattention_idx_softmax_u8,1,0.19350400567054749
65536,1024,intattention_idx_softmax_u8,2,0.1931840032339096
65536,1024,intattention_idx_softmax_u8,3,0.1924159973859787
65536,1024,intattention_idx_softmax_u8,4,0.19251200556755066
65536,1024,intattention_idx_softmax_u8,5,0.19167999923229218
65536,1024,intattention_idx_softmax_u8,6,0.19247999787330627
65536,1024,intattention_idx_softmax_u8,7,0.19171200692653656
65536,1024,intattention_idx_softmax_u8,8,0.1921280026435852
65536,1024,intattention_idx_softmax_u8,9,0.19193600118160248
65536,1024,intattention_idx_softmax_u8,10,0.19152000546455383
65536,1024,intattention_idx_softmax_u8,11,0.1915840059518814
65536,1024,intattention_idx_softmax_u8,12,0.19177600741386414
65536,1024,intattention_idx_softmax_u8,13,0.1921280026435852
65536,1024,intattention_idx_softmax_u8,14,0.19167999923229218
65536,1024,intattention_idx_softmax_u8,15,0.19846400618553162
65536,1024,intattention_idx_softmax_u8,16,0.19465599954128265
65536,1024,intattention_idx_softmax_u8,17,0.1937279999256134
65536,1024,intattention_idx_softmax_u8,18,0.1923840045928955
65536,1024,intattention_idx_softmax_u8,19,0.1929280012845993
65536,1024,intattention_idx_softmax_u8,20,0.19363200664520264
65536,1024,memory_floor_1read_1write,1,0.0716480016708374
65536,1024,memory_floor_1read_1write,2,0.07171200215816498
65536,1024,memory_floor_1read_1write,3,0.07273600250482559
65536,1024,memory_floor_1read_1write,4,0.07068800181150436
65536,1024,memory_floor_1read_1write,5,0.0703359991312027
65536,1024,memory_floor_1read_1write,6,0.06934399902820587
